553fb2c019043c0b29be84a8,Seattle Center,Outside Mullingar,Seattle Repatory Theatre,5/3/2015 2:00pm,5/3/2015 3:00pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Othello,Seattle Shakespeare Co.,5/3/2015 2:00pm,5/3/2015 3:00pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,The Hot Spot,Teatro Zinzani Performance,5/3/2015 5:30pm,5/3/2015  6:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,The Hot Spot,Teatro Zinzani Performance,5/3/2015 5:30pm,5/3/2015  6:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Outside Mullingar,Seattle Repatory Theatre,5/3/2015 7:30pm,5/3/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,5/4/2015 9:00am,5/4/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Star Wars and the Art of the Costume,"Travel to a Galaxy far, far away…",5/4/2015 10:00am,5/4/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,5/4/2015 10:00am,5/4/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Hai Ryder Roast,Fundraiser,5/4/2015 6:00pm,5/4/2015 7:00pm,start,553d2375b294237cdf412332
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,5/5/2015 9:00am,5/5/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Star Wars and the Art of the Costume,"Travel to a Galaxy far, far away…",5/5/2015 10:00am,5/5/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,5/5/2015 10:00am,5/5/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
